month,year,establishment,amount_chf,official_chf,non_official_chf,source_type,stay_start,stay_end,nights,avg_chf_per_night,invoice_date,ref,file,amount_source,date_source
2025-11,2025,Starling Hotel Residence Geneve,287.50,287.50,0.00,official,2025-11-18,2025-11-20,2,143.75,2025-11-20,,Invoices_hotel/2025/11/2025-11-20-Starling Hotel Residence Geneve.pdf,Total incl. TVA,Dates of Stay
2025-11,2025,Ramada Encore by Wyndham Geneva,265.50,0.00,265.50,non_official,2025-11-26,2025-11-28,2,132.75,2025-11-01,6918437025,maybe/2025/11/2025-11-01-Ramada Encore by Wyndham Geneva.html,montant payé,Booking arrival/departure
2025-12,2025,Starling Hotel Residence Geneve,257.50,257.50,0.00,official,2025-12-02,2025-12-04,2,128.75,2025-12-04,,Invoices_hotel/2025/12/2025-12-04-Starling Hotel Residence Geneve.pdf,Total incl. TVA,Dates of Stay
2025-12,2025,Airbnb,213.30,0.00,213.30,non_official,2025-12-09,2025-12-11,2,106.65,2025-12-08,HMQ3PQAD23,maybe/2025/12/2025-12-08-Airbnb.html,total\s*\(chf\),json checkin/checkout fields
2025-12,2025,Starling Hotel Residence Geneve,257.50,257.50,0.00,official,2025-12-17,2025-12-19,2,128.75,2025-12-19,,Invoices_hotel/2025/12/2025-12-19-Starling Hotel Residence Geneve.pdf,Total incl. TVA,Dates of Stay
2026-01,2026,Hotel des Tourelles,190.40,0.00,190.40,non_official,2026-01-13,2026-01-15,2,95.20,2026-01-12,5257232710,maybe/2026/01/2026-01-12-Hotel des Tourelles-2.html,montant payé,Booking arrival/departure
2026-01,2026,ibis budget Geneve Petit-Lancy,147.40,0.00,147.40,non_official,2026-01-20,2026-01-22,2,73.70,2026-01-20,5598153725,maybe/2026/01/2026-01-20-ibis budget Geneve Petit-Lancy-3.html,currency-prefixed amount,Booking arrival/departure
2026-01,2026,Airbnb,185.90,0.00,185.90,non_official,2026-01-27,2026-01-29,2,92.95,2026-01-27,HMXCTFM9RT,maybe/2026/01/2026-01-27-Airbnb.html,total\s*\(chf\),json checkin/checkout fields
2026-02,2026,Ramada Encore by Wyndham Geneva,223.20,0.00,223.20,non_official,2026-02-03,2026-02-05,2,111.60,2026-02-03,5823717697,maybe/2026/02/2026-02-03-Ramada Encore by Wyndham Geneva-5.html,montant total,Booking arrival/departure
2026-02,2026,Design Hotel f6,199.55,0.00,199.55,non_official,2026-02-10,2026-02-12,2,99.78,2026-02-10,5471798513,maybe/2026/02/2026-02-10-Design Hotel f6-2.html,montant payé,Booking arrival/departure
2026-02,2026,Starling Hotel Residence Geneve,233.28,0.00,233.28,non_official,2026-02-17,2026-02-19,2,116.64,2026-02-01,6282223277,maybe/2026/02/2026-02-01-Starling Hotel Residence Geneve-2.html,montant payé,Booking arrival/departure
2026-03,2026,Starling Hotel Residence Geneve,268.50,268.50,0.00,official,2026-03-31,2026-04-02,2,134.25,2026-04-02,,Invoices_hotel/2026/04/2026-04-02-Starling Hotel Residence Geneve.pdf,Total incl. TVA,Dates of Stay
2026-04,2026,Starling Hotel Residence Geneve,248.50,248.50,0.00,official,2026-04-07,2026-04-09,2,124.25,2026-04-09,,Invoices_hotel/2026/04/2026-04-09-Starling Hotel Residence Geneve.pdf,Total incl. TVA,Dates of Stay
2026-04,2026,Airbnb,155.10,0.00,155.10,non_official,2026-04-14,2026-04-16,2,77.55,2026-04-06,HM9925C9AJ,maybe/2026/04/2026-04-06-Green Marmot Capsule Hotel Geneve.html,total\s*\(chf\),json checkin/checkout fields
2026-05,2026,Starling Hotel Residence Geneve,308.50,308.50,0.00,official,2026-05-06,2026-05-08,2,154.25,2026-05-08,,Invoices_hotel/2026/05/2026-05-08-Starling Hotel Residence Geneve.pdf,Total incl. TVA,Dates of Stay
2026-05,2026,Starling Hotel Residence Geneve,144.25,144.25,0.00,official,2026-05-12,2026-05-13,1,144.25,2026-05-13,,Invoices_hotel/2026/05/2026-05-13-Starling Hotel Residence Geneve.pdf,Total incl. TVA,Dates of Stay
2026-05,2026,Starling Hotel Residence Geneve,144.25,144.25,0.00,official,2026-05-26,2026-05-27,1,144.25,2026-05-27,,Invoices_hotel/2026/05/2026-05-27-Starling Hotel Residence Geneve.pdf,Total incl. TVA,Dates of Stay
2026-06,2026,Starling Hotel Residence Geneve,288.50,288.50,0.00,official,2026-06-02,2026-06-04,2,144.25,2026-06-04,,Invoices_hotel/2026/06/2026-06-04-Starling Hotel Residence Geneve.pdf,Total incl. TVA,Dates of Stay
